,PC1,PC2,PC3,cancer_type,condition
SRR2143718,-0.28430546352399727,-0.01646208729157479,-0.04446146737779972,Colorectal,Cancer
SRR2143719,-0.33475310986635065,0.061730661423161255,-0.1019523006189085,Colorectal,Healthy
SRR2143720,-0.32964859253794604,0.10113199335740025,-0.053494762699012266,Colorectal,Healthy
SRR2143721,-0.33989152979244974,-0.15224541597677177,-0.11827981768529995,Colorectal,Healthy
SRR2143724,-0.03924454048459433,0.07513721391658447,-0.09856520156584744,Colorectal,Healthy
SRR2143728,-0.31674696686352477,-0.055205187496763494,-0.09153879187614815,Colorectal,Cancer
SRR2143732,-0.36703395949168605,-0.24685886780547778,-0.06761288029615423,Colorectal,Healthy
SRR2143734,-0.3663155777225439,0.009377240380084553,-0.0444199492108123,Colorectal,Healthy
SRR2143739,-0.3630587312406968,0.13329653429709612,-0.07869873931165101,Colorectal,Cancer
SRR2143743,-0.19818192193405537,0.07277220271831038,0.0640242420091951,Colorectal,Healthy
SRR2143744,-0.23983327650850117,0.09501803369736149,-0.005083972278919073,Colorectal,Healthy
SRR2143746,-0.2940234240189545,-0.28003714095377186,0.011584607483938466,Colorectal,Cancer
SRR2143750,-0.22626676520538824,-0.07100781753586181,0.035093279582875045,Colorectal,Healthy
SRR2143756,-0.32421226415063087,0.11115949593743124,-0.08111590086370514,Colorectal,Healthy
SRR2143757,-0.34094552188670596,-0.09064144556781965,-0.047087659436970575,Colorectal,Healthy
SRR2143760,-0.3718977571823425,-0.03314677063768833,-0.03819309592302494,Colorectal,Cancer
SRR2143761,-0.23361390923310982,0.1924159660236309,0.04541324291629122,Colorectal,Healthy
SRR2143762,-0.269028546771066,0.1104911795279082,0.04497756104372906,Colorectal,Healthy
SRR2143763,-0.24844668561227826,0.19778423150639257,0.029373121980352232,Colorectal,Cancer
SRR2143766,-0.3196280158430259,0.1598573463051891,-0.07437997044014373,Colorectal,Healthy
SRR2143773,-0.32426138200033716,0.09297855059119152,-0.07351209958305077,Colorectal,Healthy
SRR2143781,-0.26485171800021656,-0.12947719521818257,-2.144352200173756e-05,Colorectal,Healthy
SRR2143789,-0.3012234503971541,0.18285251669898492,-0.06690123606367974,Colorectal,Healthy
SRR2143797,-0.3976143141299022,-0.0999894086578097,-0.08048728250594603,Colorectal,Cancer
SRR2143800,-0.2889557075710512,-0.02732183915790125,-0.07019396134157431,Colorectal,Cancer
SRR2143801,-0.25807190212008946,0.002196293291097487,-0.05673688114803989,Colorectal,Cancer
SRR2143594,-0.011185088207074631,-0.027469118269247764,0.20370181651505048,Colorectal,Healthy
SRR2143678,-0.011967801413573386,-0.028438711039294632,0.20163255298612753,Colorectal,Healthy
SRR2143571,-0.00499212535728917,-0.030066517703489247,0.18592270728815496,Colorectal,Healthy
SRR2143625,-0.011498792144045712,-0.02758162296681089,0.20350250568503023,Colorectal,Cancer
SRR2143715,-0.011369770827961964,-0.027671866061235072,0.2033459345305481,Colorectal,Cancer
SRR12478625,0.45012451362861516,-0.023814271411730474,-0.24406186406546018,Breast,Cancer
SRR12478626,0.42951600647122007,0.0410079248997168,-0.2420401497881384,Breast,Cancer
SRR12478627,0.46465266383599263,-0.11700215282847053,-0.19809385762263798,Breast,Healthy
SRR12478628,0.08336559212628415,0.38856593175328685,-0.07046814280557222,Breast,Healthy
SRR12478629,0.019037280795811642,0.30830622470325325,-0.03380517973682831,Breast,Healthy
SRR12478630,0.10634604889044573,0.4639334807118641,-0.05998617473086128,Breast,Cancer
SRR12478631,0.3683850098409177,-0.005002280763831041,-0.21453876701941382,Breast,Healthy
SRR12478632,0.4577981073763252,-0.08724131660625577,-0.20537600267570041,Breast,Healthy
SRR12478633,0.45283458452834296,-0.05331993273907584,-0.21166861291724187,Breast,Healthy
SRR12478634,0.2945961522161129,0.18902972430183648,-0.1953331097157798,Breast,Healthy
SRR12478635,-0.05943267444786786,0.44112392932101246,0.30880292853087254,Breast,Cancer
SRR12478636,-0.1126659205013466,0.4410666872632929,0.1701587421894274,Breast,Cancer
SRR12478637,-0.004575148374492249,0.3297213976223159,0.11996270135709627,Breast,Cancer
SRR12478638,0.42446291453380813,0.009380902070334311,-0.20820684136948603,Breast,Cancer
SRR12478639,-0.0773782342481813,0.4541401484648755,0.21654729896558467,Breast,Cancer
SRR12478640,0.42487155992798264,-0.09842486760475669,-0.21183292542126486,Breast,Healthy
SRR12478641,0.2866629072748061,0.2620729345314086,-0.16369348321755178,Breast,Cancer
SRR12478643,0.44373849588598374,-0.021518304777890213,-0.2200816524105017,Breast,Healthy
SRR12478644,0.4161510597865775,-0.009885133918367414,-0.24808180296702917,Breast,Healthy
SRR12478645,0.46280811979092895,-0.07675428145621237,-0.2194607939359316,Breast,Cancer
SRR12478646,-0.07038766166372726,0.5235365996249031,0.10443565194473521,Breast,Cancer
SRR12478647,0.44065356140668327,-0.031383524014498274,-0.21103952435948475,Breast,Healthy
SRR12478648,0.4499533782609857,-0.044337476176134934,-0.22161503704276211,Breast,Cancer
SRR12478649,0.43813454298831456,-0.00016148281324811572,-0.2075531159781323,Breast,Healthy
SRR12478650,-0.052734369862565696,0.5267661606956775,-0.008657081402077337,Breast,Healthy
SRR12478651,0.4072065314506891,0.03610027272719001,-0.18164144573153593,Breast,Healthy
